	Annoted	Learned	Matched	R	P	F1
Sy	228	209	174	0.7631578947368421	0.8325358851674641	0.7963386727688787
Bo	71	57	51	0.7183098591549296	0.8947368421052632	0.796875
Ch	136	124	106	0.7794117647058824	0.8548387096774194	0.8153846153846154
Tr	26	20	12	0.46153846153846156	0.6	0.5217391304347826
Si	157	137	123	0.7834394904458599	0.8978102189781022	0.8367346938775512
DT	14	9	8	0.5714285714285714	0.8888888888888888	0.6956521739130435
unct	10	5	4	0.4	0.8	0.5333333333333333
E	642	561	478	0.7445482866043613	0.8520499108734403	0.7946799667497922
