	Annoted	Learned	Matched	R	P	F1
Sy	228	208	158	0.6929824561403509	0.7596153846153846	0.7247706422018347
Bo	71	73	52	0.7323943661971831	0.7123287671232876	0.7222222222222221
Ch	136	134	93	0.6838235294117647	0.6940298507462687	0.6888888888888889
Tr	26	26	15	0.5769230769230769	0.5769230769230769	0.5769230769230769
Si	157	143	113	0.7197452229299363	0.7902097902097902	0.7533333333333333
DT	14	10	8	0.5714285714285714	0.8	0.6666666666666666
unct	10	4	3	0.3	0.75	0.4285714285714285
E	642	598	442	0.6884735202492211	0.7391304347826086	0.7129032258064516
